Name,Notes,Address Short,City State Zip,Address Consolidated,Latitude,Longitude
Loaves & Fishes - Canoga Park,"4th Mondays, Wednesdays & Fridays 9 am - 12 pm",21600 Hart Street,"Canoga Park, CA 91303, United States","21600 Hart Street Canoga Park, CA 91303, United States",34.1972021,-118.6006611
Loaves & Fishes - Glendale,Monday- Friday 9am-3pm,4322 San Fernando Road,"Glendale, CA 91204, United States","4322 San Fernando Road Glendale, CA 91204, United States",34.1316301,-118.2610603
Long Beach Center for Economic Inclusion,Mondays 10am-12pm,6509 Gundry Ave,"Long Beach, CA 90805, United States","6509 Gundry Ave Long Beach, CA 90805, United States",33.8730083,-118.1754622
Long Beach City College,Monday - Thursday 9am-4pm,4901 E. Carson St,"Long Beach, CA 90808, United States","4901 E. Carson St Long Beach, CA 90808, United States",33.829762,-118.1358352
Long Beach City College - MFP,4th Thursday 1pm - 3pm,1305 E Pacific Coast Hwy,"Long Beach, CA 90806, United States","1305 E Pacific Coast Hwy Long Beach, CA 90806, United States",33.7919745,-118.1760191
Long Beach City College- PCC Campus,4th Tuesday 1pm-3pm,1305 E. Pacific Coast Hwy,"Long Beach, CA 90806, United States","1305 E. Pacific Coast Hwy Long Beach, CA 90806, United States",33.7919745,-118.1760191
Long Beach Community Table,"Tuesday's & Wednesday's 5:30pm-7pm , Fridays's 12pm-4pm & Saturday's 12pm-2pm",3311 E. 59th St,"Long Beach, CA 90805, United States","3311 E. 59th St Long Beach, CA 90805, United States",33.8632054,-118.1527727
Long Beach Family Health Care Outreach Inc.,"Friday 10/3, 10/17, 11/7, 11/21, 12/5, 12/19 10am-12pm",2385 Pacific Ave,"Long Beach, CA 90806, United States","2385 Pacific Ave Long Beach, CA 90806, United States",33.8005541,-118.1940414
Long Beach Lutheran Social Services,"Monday, Tuesday 10am - 12pm, 1230pm - 2pm, Wednesday 11am - 12pm, 1230 - 2pm, Thursday 10am - 12pm, 1230 - 2pm",1611 Pine Avenue,"Long Beach, CA 90813, United States","1611 Pine Avenue Long Beach, CA 90813, United States",33.7874645,-118.1927444
Long Beach Poly High School Food Bank,Wednesday & Friday 2pm-4pm,1600 Atlantic Ave,"Long Beach, CA 90813, United States","1600 Atlantic Ave Long Beach, CA 90813, United States",33.7871324,-118.183218
Long Beach S.D.A. Church,3rd Sunday 8am-10am,1001 E. 3rd Street,"Long Beach, CA 90802, United States","1001 E. 3rd Street Long Beach, CA 90802, United States",33.7709249,-118.1797899
Los Angeles Boys & Girls Club,Thursday 4pm - 6pm & Sunday 11am-1pm,2635 Pasadena Avenue,"Los Angeles, CA 90031, United States","2635 Pasadena Avenue Los Angeles, CA 90031, United States",34.078001,-118.215701
Los Angeles County Aging and Disabilities Depart.,"Monday 2 pm - 4 pm, & Tuesday 930am - 12pm &  2 pm - 4 pm",1441 Santa Anita Avenue,"South El Monte, CA 91733, United States","1441 Santa Anita Avenue South El Monte, CA 91733, United States",34.0451558,-118.04555
Los Angeles County Aging and Disabilities Depart.,"Monday 2pm - 4pm, Tuesday 930am - 12pm, 2pm - 4pm",15116 S. Atlantic Ave,"Compton, CA 90221, United States","15116 S. Atlantic Ave Compton, CA 90221, United States",33.8954999,-118.1926859
Los Angeles County Aging and Disabilities Depart.,Monday 2pm - 4PM & Tuesday 9:30am - 12 PM & 2pm-4pm,4716 E. Cesar Chavez Avenue,"Los Angeles, CA 90022, United States","4716 E. Cesar Chavez Avenue Los Angeles, CA 90022, United States",34.0403431,-118.1644806
Los Angeles County Aging and Disabilities Depart.,Monday 2pm - 4PM & Tuesday 9:30am - 12 PM & 2pm-4PM,133 N. Sunol Drive,"Los Angeles, CA 90063, United States","133 N. Sunol Drive Los Angeles, CA 90063, United States",34.037144,-118.1793032
Los Angeles County Aging and Disabilities Depart.,"Monday 2pm - 4pm, Tuesday 9:30am - 12pm, 2pm - 4pm",777 W. Jackman Street,"Lancaster, CA 93534, United States","777 W. Jackman Street Lancaster, CA 93534, United States",34.7016605,-118.1447615
Los Angeles County Aging and Disabilities Depart.,Monday 2pm-4pm & Tuesday 9:30am-12pm & 2pm-4pm,11640 W. Slauson Avenue,"Whittier, CA 90606, United States","11640 W. Slauson Avenue Whittier, CA 90606, United States",33.9642626,-118.0676184
Los Angeles County Aging and Disabilities Depart.,"Monday 2pm - 4pm, Tuesday 930am - 12pm, 2pm - 4pm",12915 Jarvis Avenue,"Los Angeles, CA 90061, United States","12915 Jarvis Avenue Los Angeles, CA 90061, United States",33.9149413,-118.2723456
Los Angeles County Aging and Disabilities Depart.,"Monday 2pm - 4pm, Tuesday 930am - 12pm, 2pm - 4pm",769 W. Third Street,"San Pedro, CA 90731, United States","769 W. Third Street San Pedro, CA 90731, United States",33.7413313,-118.2939075
Los Angeles County Aging and Disabilities Depart.,"Monday 2pm - 530pm, Tuesday 930am - 12pm, 2pm - 530pm",7807 S. Compton Avenue,"Los Angeles, CA 90001, United States","7807 S. Compton Avenue Los Angeles, CA 90001, United States",33.9197623,-118.2465216
Los Angeles County Aging and Disabilities Depart.,"Monday 2pm - 4pm, Tuesday 930am - 12pm, 2pm - 4pm","26111 Bouquet Canyon Road, Suite H001","Santa Clarita, CA 91350, United States","26111 Bouquet Canyon Road, Suite H001 Santa Clarita, CA 91350, United States",34.4178581,-118.5427721
Los Angeles County Aging and Disabilities Depart.,"Monday 2pm - 4pm, Tuesday 9:30am - 12pm, 2pm - 4pm",441 E. Carson St. Ste. L,"Carson, CA 90745, United States","441 E. Carson St. Ste. L Carson, CA 90745, United States",33.8324786,-118.2686794
Los Angeles County/USC Medical Center Auxiliary,4th Friday 9am-11am    November & December Distributions will be held the 2nd Friday 11/14 & 12/12,1200 N. State Street,"Los Angeles, CA 90033, United States","1200 N. State Street Los Angeles, CA 90033, United States",34.0600972,-118.2117685
Los Angeles First Church of the Nazarene - Hope Net,Saturday 8 - 10am,3401 W. 3rd Street,"Los Angeles, CA 90020, United States","3401 W. 3rd Street Los Angeles, CA 90020, United States",34.0692656,-118.2896795
Love & Unity Christian Fellowship,3rd Friday 12pm - 2pm,1842 S. Wilmington Ave,"Compton, CA 90220, United States","1842 S. Wilmington Ave Compton, CA 90220, United States",33.8769065,-118.2357327
Loveship Community Outreach,2nd Sundays 9:30 am - 11:30 am & 4th Saturday 2:30pm-4:30pm,836 E. Avenue I,"Lancaster, CA 93535, United States","836 E. Avenue I Lancaster, CA 93535, United States",34.7038308,-118.1136341
Lutheran Social Services of SoCal,Monday-Thursday 8am-2pm,1611 Pine Ave,"Long Beach, CA 90813, United States","1611 Pine Ave Long Beach, CA 90813, United States",33.7874645,-118.1927444
Lynwood Partners Educational Foundation,Wednesdays 10 am - 12:30 pm,11321 Bullis Rd,"Lynwood, CA 90262, United States","11321 Bullis Rd Lynwood, CA 90262, United States",33.9262361,-118.2003727
Lynwood United Methodist Church,Wednesdays 9 am - 10 am,4207 Carlin Avenue,"Lynwood, CA 90262, United States","4207 Carlin Avenue Lynwood, CA 90262, United States",33.9125476,-118.1961475
Macedonia Community Development,Tuesdays 9am-11am,11101 Wilmington Ave.,"Los Angeles, CA 90059, United States","11101 Wilmington Ave. Los Angeles, CA 90059, United States",33.934187,-118.2392539
Making It Happen,Saturday 1:30pm-2:30pm,9666 Foothill Pl,"Lakeview Terrace, CA 91342, United States","9666 Foothill Pl Lakeview Terrace, CA 91342, United States",34.2733214,-118.3402136
Manos Que Sobreviven,Wednesday 7am - 2pm,2930 Fletcher Dr,"Los Angeles, CA 90065, United States","2930 Fletcher Dr Los Angeles, CA 90065, United States",34.1139119,-118.2466544
Maranatha S.D.A. Community Center,"2nd, 4th Tuesday 10am - 1130am",3569 W. Manchester Blvd,"Inglewood, CA 90305, United States","3569 W. Manchester Blvd Inglewood, CA 90305, United States",33.9602163,-118.3348263
Meet Each Need with Dignity,"1st & 3rdTuesday 10am-11am, Wednesday & Friday 9am-12pm, Thursday 9am-11am & 1st & 3rd Saturday 9am-12pm",10641 San Fernando Rd,"Pacoima, CA 91331, United States","10641 San Fernando Rd Pacoima, CA 91331, United States",34.2630367,-118.4195743
Men's Health Foundation,2nd & 4th Wednesday 12pm-2pm & 4pm-6pm,8601 S. Broadway St,"Los Angeles, CA 90003, United States","8601 S. Broadway St Los Angeles, CA 90003, United States",33.9598853,-118.2788032
Metropolitan Community Church of L.A.,Saturday 7:30am - 9:30am,4607 Prospect Avenue,"Los Angeles, CA 90027, United States","4607 Prospect Avenue Los Angeles, CA 90027, United States",34.1020959,-118.2898258
Mexican - American Opportunity Foundation,Thursday 8am - 12pm,401 N. Garfield Ave,"Montebello, CA 90640, United States","401 N. Garfield Ave Montebello, CA 90640, United States",34.0192276,-118.1337198
Mid City Spanish S.D.A. Church,"Wednesday 12:pm -3pm 10/01, 10/15, 10/29, 11/12, 11/26, 12/10",330 W. 61st St,"Los Angeles, CA 90003, United States","330 W. 61st St Los Angeles, CA 90003, United States",33.9838901,-118.2794877
Mid Valley Family,3rd Thursday 330 - 430pm,6901 Lennox Ave.,"Van Nuys, CA 91405, United States","6901 Lennox Ave. Van Nuys, CA 91405, United States",34.1966127,-118.4456648
Ministerio Cristiano Faro de Luz,Thursdays 9am-12pm,7502 San Pedro St,"Los Angeles, CA 90003, United States","7502 San Pedro St Los Angeles, CA 90003, United States",33.9720187,-118.2692302
Ministerio Cristiano Faro de Luz,Wednesday 9am-12pm,9615 Kalmia St,"Los Angeles, CA 90002, United States","9615 Kalmia St Los Angeles, CA 90002, United States",33.9489571,-118.2320065
Ministry by Insprirational Women,Tuesdays 12pm-2pm,3740 E. Imperial Hwy,"Lynwood, CA 90262, United States","3740 E. Imperial Hwy Lynwood, CA 90262, United States",33.9317893,-118.1979643
Mission Church of the Hour,Wednesday 6:30am-11am,3611 S. Western Ave,"Los Angeles, CA 90018, United States","3611 S. Western Ave Los Angeles, CA 90018, United States",34.0225056,-118.3091544
Mission Siloe Defensores de la fe Cristian,Tuesday 2pm - 4pm,3818 Maple Ave,"Los Angeles, CA 90011, United States","3818 Maple Ave Los Angeles, CA 90011, United States",34.0125672,-118.272082
Missionaries of Charity,Friday 300pm - 500pm,10950 California Avenue,"Lynwood, CA 90262, United States","10950 California Avenue Lynwood, CA 90262, United States",33.9334774,-118.2081459
Morning Star Outreach Ministry,"2nd Sat 11am-1pm, 4th Saturday 11am-12pm",1416 N. Mentor Ave,"Pasadena, CA 91104, United States","1416 N. Mentor Ave Pasadena, CA 91104, United States",34.1702288,-118.1307582
Morningstar Christian Chapel,Tuesday 10:30 am - 11:30 am,16241 Leffingwell Road,"Whittier, CA 90603, United States","16241 Leffingwell Road Whittier, CA 90603, United States",33.9328701,-117.9843219
"Mothers In Action, Inc.",3rd Tuesday 12pm-3pm,3800 S. Crenshaw Blvd.,"Los Angeles, CA 90008, United States","3800 S. Crenshaw Blvd. Los Angeles, CA 90008, United States",34.0174912,-118.3350497
Mount Hebron Baptist Church,Wednesday 10:30am-1pm,10219 S. Western Ave,"Los Angeles, CA 90047, United States","10219 S. Western Ave Los Angeles, CA 90047, United States",33.9434979,-118.3093247
Mountain of Solutions,2nd and 4th Saturday 12pm-2pm,849 West 85th St,"Los Angeles, CA 90044, United States","849 West 85th St Los Angeles, CA 90044, United States",33.9614401,-118.2886529
Mountain View School District,"Thursday10/2, 10/16, 10/30, 11/13, 11/24, 12/4, 12/18  2pm-6pm",2740 Mt. View Road,"El Monte, CA 91732, United States","2740 Mt. View Road El Monte, CA 91732, United States",34.0602384,-118.0239164
Mrs. Sues House,3rd Monday 10am-12:30pm,345 E. 51st St,"Los Angeles, CA 90011, United States","345 E. 51st St Los Angeles, CA 90011, United States",33.9975563,-118.2665493
My Friends House Foundation,Wednesday 8 am - 10 am,3533 W. 58th Place,"Los Angeles, CA 90043, United States","3533 W. 58th Place Los Angeles, CA 90043, United States",33.9883366,-118.3341769
My Friends House Foundation,Tuesday 3pm - 6pm,1244 E. 7th Street,"Los Angeles, CA 90021, United States","1244 E. 7th Street Los Angeles, CA 90021, United States",34.0367842,-118.2415404
National Day Laborer Organizing Network,Friday 8 am - 12 pm,500 N. Lake,"Pasadena, CA 91101, United States","500 N. Lake Pasadena, CA 91101, United States",34.1546654,-118.1321539
New Antioch Church of God,4th Saturday 8:30am-10am,7826 S. Vermont Ave,"Los Angeles, CA 90044, United States","7826 S. Vermont Ave Los Angeles, CA 90044, United States",33.9683224,-118.2914386
New Beginings Outreach CDC,Mondays 10am-3pm,1000 W. Artesia Blvd,"Gardena, CA 90248, United States","1000 W. Artesia Blvd Gardena, CA 90248, United States",33.8721995,-118.2923092
New Hope Tenth St Baptist Church,4th Saturday 10am-12pm,1160 E. New York Street,"Long Beach, CA 90813, United States","1160 E. New York Street Long Beach, CA 90813, United States",33.784623,-118.1777775
New Life Community Church,Thursday 4:30pm-5:30pm & Friday 11am-3pm CLOSED every 1st week of the month,275 E. Foothill Boulevard,"Pomona, CA 91767, United States","275 E. Foothill Boulevard Pomona, CA 91767, United States",34.1080129,-117.7448828
New Life Community Church,Saturday 9:30am-10:30am,18800 Norwalk Blvd,"Artesia, CA 90701, United States","18800 Norwalk Blvd Artesia, CA 90701, United States",33.8614471,-118.071664
New Mount Pleasant Missionary Baptist Church,"3rd, 4th Wednesday 11am - 2pm",434 S. Grevillea Ave,"Inglewood, CA 90301, United States","434 S. Grevillea Ave Inglewood, CA 90301, United States",33.9582958,-118.3546991
New Rock of Ages Baptist Church,Saturday 11 am - 2 pm,12946 S. Prairie Ave,"Hawthorne, CA 90250, United States","12946 S. Prairie Ave Hawthorne, CA 90250, United States",33.914468,-118.3438969
New Song Church,"1st & 3rd Thursday 7 PM - 8 PM, 2nd & 4th Saturday 10am - 11 AM",945 W. Covina Blvd.,"San Dimas, CA 91773, United States","945 W. Covina Blvd. San Dimas, CA 91773, United States",34.0999059,-117.8258309
Next Dimension Ministries,2nd & 4th Friday 11am-1pm,45337 Sierra Hwy,"Lancaster, CA 93534, United States","45337 Sierra Hwy Lancaster, CA 93534, United States",34.706917,-118.1387931
Noel Community Organization,1st Saturday 10am-12pm,3070 Santa Fe Ave,"Long Beach, CA 90810, United States","3070 Santa Fe Ave Long Beach, CA 90810, United States",33.8138408,-118.2151689
Noel Community Organization,2nd Saturday 11am-1pm,6025 s Figueroa,"Los Angeles, CA 90003, United States","6025 s Figueroa Los Angeles, CA 90003, United States",33.9845511,-118.2830519
Noel Community Organization,3rd Saturday 10am-12pm,1919 E. Compton Blvd,"Compton, CA 90221, United States","1919 E. Compton Blvd Compton, CA 90221, United States",33.8963176,-118.2019125
Noel Community Organization,4ht Saturday 10am-12pm,121 N. Long Beach Blvd,"Compton, CA 90221, United States","121 N. Long Beach Blvd Compton, CA 90221, United States",33.8967184,-118.2082051
Noel Community Organization,4th Saturday 10am-12pm,5238 Clark St,"Lynwood, CA 90262, United States","5238 Clark St Lynwood, CA 90262, United States",33.9102403,-118.1879177
Noel Community Organization,4th Saturday 10am-12pm,121 n Long Beach Blvd.,"Compton, CA 90221, United States","121 n Long Beach Blvd. Compton, CA 90221, United States",33.8967184,-118.2082051
Normandie Avenue S.D.A Church,2nd & 4th Saturday 2pm-4pm,12420 Normandie Ave,"Los Angeles, CA 90044, United States","12420 Normandie Ave Los Angeles, CA 90044, United States",33.9195568,-118.3000824
North Hollywood Interfaith Food Pantry,Monday & Friday 730am-11am,11634 Moorpark Street,"North Hollywood, CA 91602, United States","11634 Moorpark Street North Hollywood, CA 91602, United States",34.1501903,-118.3868175
North Valley Caring Services,Friday 9am - 11 am,15453 Rayen Street,"North Hills, CA 91343, United States","15453 Rayen Street North Hills, CA 91343, United States",34.2322292,-118.4691365
Northeast Valley Health Corporation- Mobile Food Pantry,1st Friday 9am-11am,7223 Fair Ave,"Sun Valley, CA 91352, United States","7223 Fair Ave Sun Valley, CA 91352, United States",34.2019063,-118.3752357
Norwalk SDA Church,Sunday 12pm-2pm,12191 Firestone Blvd,"Norwalk, CA 90650, United States","12191 Firestone Blvd Norwalk, CA 90650, United States",33.9084333,-118.0732053
Oasis Foursquare Church,Thursday 1030am-1130am,8856 Kester Ave,"Panorama City, CA 91402, United States","8856 Kester Ave Panorama City, CA 91402, United States",34.2316723,-118.4570075
Ocean Gate Baptist Church,"2nd, 3rd,m 4th & 5th Thursday 10am-12pm 1st Saturday 11am-12pm",13443 Ocean Gate Ave,"Hawthorne, CA 90250, United States","13443 Ocean Gate Ave Hawthorne, CA 90250, United States",33.9100657,-118.3674749
Omni Ministries,2nd and 4th Friday 9am-2pm,12601 Wilmington Ave,"Compton, CA 90222, United States","12601 Wilmington Ave Compton, CA 90222, United States",33.9183249,-118.2394565
One Generation,"Monday - Friday 9 AM - 12 PM , 12 PM - 4 PM & Saturday  , Sunday 10 AM - 2 PM",18255 Victory Blvd.,"Reseda, CA 91335, United States","18255 Victory Blvd. Reseda, CA 91335, United States",34.187225,-118.531234
Open Arms Food Pantry and Resources,"Mon,Tues, & Thursday 11am-1pm","2010 W. 62nd St, Unit 130","Los Angeles, CA 90047, United States","2010 W. 62nd St, Unit 130 Los Angeles, CA 90047, United States",33.9831462,-118.3141734
Open Arms Housing Foundation,Fridays 1pm-3pm,3253 Del Mar Ave,"Rosemead, CA 91770, United States","3253 Del Mar Ave Rosemead, CA 91770, United States",34.0677227,-118.0998959
Open Arms Housing Foundation,Thursday 12pm-1pm,1025 S. Kern Ave,"Los Angeles, CA 90022, United States","1025 S. Kern Ave Los Angeles, CA 90022, United States",34.0197072,-118.1668668
Open Door Skidrow Ministries,Sunday 11am - 12pm,419 E. 6th Street,"Los Angeles, CA 90014, United States","419 E. 6th Street Los Angeles, CA 90014, United States",34.0425558,-118.2455279
ORALE,"Tuesday 10/28,11/11, 11/25, 12/9   8:30 am- 9:30 am",434 Olive Ave,"Long Beach, CA 90802, United States","434 Olive Ave Long Beach, CA 90802, United States",33.7724752,-118.1821823
ORALE,"Tuesday 10/28,11/11, 11/25, 12/9   8:30 am- 9:30 am",515 W Anaheim St,"Wilmington, CA 90744, United States","515 W Anaheim St Wilmington, CA 90744, United States",33.7798213,-118.2680995
ORALE,"Tuesday 10/28, 11/11, 11/25, 12/9  10 am- 11 am",5314 Lime Ave,"Long Beach, CA 90805, United States","5314 Lime Ave Long Beach, CA 90805, United States",33.8528646,-118.1837224
Our Saviour Center,"Tuesday , Thursday 9am-12pm & 2nd & 4th Saturday 9am-12pm",4368 Santa Anita Avenue,"El Monte, CA 91731, United States","4368 Santa Anita Avenue El Monte, CA 91731, United States",34.0853271,-118.0293354
Palmdale Community Foundation - S.A.V.E.S.,"Monday 1pm-4pm, Tuesday, Wednesday, Thursday 11am - 4pm",1002 E. Avenue Q12,"Palmdale, CA 93550, United States","1002 E. Avenue Q12 Palmdale, CA 93550, United States",34.5745541,-118.0273213
Palmdale S.D.A. Church,1st & 3rd Monday 4pm - 5:30 PM,1758 E. Avenue R,"Palmdale, CA 93550, United States","1758 E. Avenue R Palmdale, CA 93550, United States",34.5722506,-118.0963295
Panorama Baptist Church,Wednesday 11am - 1pm,8767 Woodman St,"Arleta, CA 91331, United States","8767 Woodman St Arleta, CA 91331, United States",34.2287705,-118.43577
Paralyzed Veterans of America California Chapter,Monday - Thursday 10am-12pm & 2pm-4pm Friday  by Appt Only,5901 E. 7th St,"Long Beach, CA 90822, United States","5901 E. 7th St Long Beach, CA 90822, United States",33.7785537,-118.11859
Paramount Care Foundation,Friday 8am - 10am,8206 Alondra Blvd,"Paramount, CA 90723, United States","8206 Alondra Blvd Paramount, CA 90723, United States",33.8890362,-118.1557462
Paramount S.D.A Church,1st & 3rd Tuesday 11:30am-1pm,9438 Alondra Blvd,"Bellflower, CA 90706, United States","9438 Alondra Blvd Bellflower, CA 90706, United States",33.8889844,-118.1329548
PARS Equality Center,"Friday 7/12, 7/26, 8/9, 8/26, 9/6 & 9/20 11 am - 2 pm",4954 Van Nuys Blvd,"Sherman Oaks, CA 91403, United States","4954 Van Nuys Blvd Sherman Oaks, CA 91403, United States",34.1609126,-118.4482222
"Pasadena City College Foundation, Inc.","Tuesday, Wednesday, Thursday 10 am-4 pm",1570 E. Colorado Blvd,"RM CC211, Pasadena, CA 91106, United States","1570 E. Colorado Blvd RM CC211, Pasadena, CA 91106, United States",34.1439461,-118.118761
Pasadena City College MFP,1st Tuesday 12pm-2pm,1570 E. Colorado Blvd,"Pasadena, CA 91106, United States","1570 E. Colorado Blvd Pasadena, CA 91106, United States",34.1439461,-118.118761
Pentecostal City Mission Church,Saturday 9:30am-11am,4610 S. Hooper Avenue,"Los Angeles, CA 90011, United States","4610 S. Hooper Avenue Los Angeles, CA 90011, United States",34.001811,-118.2518857
Penuel Missionary Baptist Church,2nd & 4th Saturday 10am-11am,215 E. 108th St,"Los Angeles, CA 90061, United States","215 E. 108th St Los Angeles, CA 90061, United States",33.9385369,-118.2711761
Pico Union Project,Thursday 10:30am - 12:30pm,1153 Valencia Street,"Los Angeles, CA 90015, United States","1153 Valencia Street Los Angeles, CA 90015, United States",34.0457102,-118.2742812
Plain Truth Mission,Tuesday 12pm-2pm,9501 Avalon Blvd,"Los Angeles, CA 90003, United States","9501 Avalon Blvd Los Angeles, CA 90003, United States",33.9500849,-118.2655202
Pomona Fairplex,11/19/2025 | 9am - 12pm,Fairplex Dr.,"Pomona, CA 91768, United States","Fairplex Dr. Pomona, CA 91768, United States",34.0765296,-117.7824715
Pools of Hope,Saturdays 11am-1pm,6801 Long Beach Blvd,"Long Beach, CA 90805, United States","6801 Long Beach Blvd Long Beach, CA 90805, United States",33.8778635,-118.2042572
Praise Sanctuary Ministries,Thursday 12pm-3pm,10807 S. Vermont Ave,"Los Angeles, CA 90044, United States","10807 S. Vermont Ave Los Angeles, CA 90044, United States",33.9379,-118.2921573
Presentation of Mary Catholic,Thursday 9am-11am,6406 Parmelee Avenue,"Los Angeles, CA 90001, United States","6406 Parmelee Avenue Los Angeles, CA 90001, United States",33.981474,-118.2496095
Priase Chapel Christian Fellowship - HP,"2nd Sat 8:00a-10am, 4th Tues 5pm-7pm",3034 E. Gage Ave,"Huntington Park, CA 90255, United States","3034 E. Gage Ave Huntington Park, CA 90255, United States",33.9806819,-118.2144694
Principe de Paz,"Thursday  10am-12pm,  10/02, 10/16, 10/30, 11/13, 11/27 CLOSED December 2025",6706 Vinevale Avenue,"Bell, CA 90201, United States","6706 Vinevale Avenue Bell, CA 90201, United States",33.9742748,-118.1809886
Proclaim International Ministries,Saturday 10am-11am,1517 E. Alondra Blvd,"Compton, CA 90221, United States","1517 E. Alondra Blvd Compton, CA 90221, United States",33.888992,-118.2052668
Progress Baptist Church,"Thursday 10/2, 10/16, 10/30, 11/13, 11/27, 12/11, 12/25 12pm-1pm",2122 El Segundo Blvd,"Compton, CA 90222, United States","2122 El Segundo Blvd Compton, CA 90222, United States",33.9159186,-118.2347513
"Project 29:11, A Community Development Corporation",Friday 1 pm - 3 pm,418 N. Second Avenue,"Covina, CA 91723, United States","418 N. Second Avenue Covina, CA 91723, United States",34.0895445,-117.8875703
Project RESPECTT,2nd & 4th Thursday 10am-12pm,11986 Front Street,"Norwalk, CA 90650, United States","11986 Front Street Norwalk, CA 90650, United States",33.9093966,-118.0780752
Puente Latino Association,2nd Saturday  8am - 9am,6335 Myrtle Ave,"Long Beach, CA 90805, United States","6335 Myrtle Ave Long Beach, CA 90805, United States",33.8704423,-118.1824804
PUENTE Learning Center,1st & 3rd Wednesday 12:30pm-3:30pm,501 S. Boyle Ave,"Los Angeles, CA 90033, United States","501 S. Boyle Ave Los Angeles, CA 90033, United States",34.0414738,-118.2201529
Purpose LA,1st and 3rd Wednesday 6pm-7:30pm,8025 Remmet Ave,"Canoga Park, CA 91304, United States","8025 Remmet Ave Canoga Park, CA 91304, United States",34.2164296,-118.6005246
RCCG -  Jesus Embassy Los Angeles,2nd & 4th Monday 5:30pm-7pm & 1st & 3rd Saturday 10am-11:30am,442 E. El Segundo,"Los Angeles, CA 90061, United States","442 E. El Segundo Los Angeles, CA 90061, United States",33.9161258,-118.2660491
RCCG Victory House of California,"Saturday 130pm-3pm, Sunday 12pm-3pm",13812 Saticoy St,"Panorama City, CA 91402, United States","13812 Saticoy St Panorama City, CA 91402, United States",34.2096024,-118.4338519
Redeemer Lutheran Outreach,Thursday 11am-1:30pm,20025 Chase Street,"Winnetka, CA 91306, United States","20025 Chase Street Winnetka, CA 91306, United States",34.2256917,-118.5699112
Rehoboth Courage Church,Saturday 10 am - 12:30 pm,568 W. Compton Boulevard,"Compton, CA 90220, United States","568 W. Compton Boulevard Compton, CA 90220, United States",33.8955867,-118.2336673
Renewed Life Ministries,1st & 3rd Staurday 9am-12pm,132 E. Artesia Blvd,"Long Beach, CA 90805, United States","132 E. Artesia Blvd Long Beach, CA 90805, United States",33.8739046,-118.2011365
Rescue Mission Alliance -  Village Mobile Park,"Last Saturday 9 am - 9:30 am OPEN 11/22, 12/20 CLOSED 11/29, 12,27",231 W. Ave 6,"Lancaster, CA 93534, United States","231 W. Ave 6 Lancaster, CA 93534, United States",34.6946278,-118.1473771
Rescue Mission Alliance - I Lead Charter School,3rd Friday 12:30pm-2pm,254 E. Ave K-4,"Lancaster, CA 93535, United States","254 E. Ave K-4 Lancaster, CA 93535, United States",34.6709714,-118.1260914
Rescue Mission Alliance - Lancaster LDS Church,Thursday 2pm - 4pm,4052 W. Ave L,"Lancaster, CA 93535, United States","4052 W. Ave L Lancaster, CA 93535, United States",34.6593602,-118.2032091
Rescue Mission Alliance - Lighthouse Assembly of God Church,Friday 9:30am-10:30am,38500 9th Street East,"Palmdale, CA 93550, United States","38500 9th Street East Palmdale, CA 93550, United States",34.5817325,-118.1140052
Rescue Mission Alliance - Shady Elms Mobile Park,"Last Saturday 9 am - 9:30 am OPEN 11/22, 12/20 CLOSED 11/29, 12,27",43155 Sierra Hwy,"Lancaster, CA 93534, United States","43155 Sierra Hwy Lancaster, CA 93534, United States",34.6673485,-118.1336634
Rescue Mission Alliance - The Highlands Church,2nd & Last Saturday 12:30pm-1:30pm,39625 20th Street West,"Palmdale, CA 93551, United States","39625 20th Street West Palmdale, CA 93551, United States",34.6028712,-118.1667573
Rescue Mission Alliance -Christian Life Assembly,3rd Sunday 11:30am-12:30pm,3250 Lancaster Blvd,"Lancaster, CA 93535, United States","3250 Lancaster Blvd Lancaster, CA 93535, United States",34.6966815,-118.0711793
Rescue Mission Alliance -Eastside union School District,2nd Friday 11am-1pm,44938 30th Street East,"Lancaster, CA 93535, United States","44938 30th Street East Lancaster, CA 93535, United States",34.7004374,-118.0760554
Rescue Mission Alliance -Iglesia Nueva Vida,Friday 11:30am-12:30pm,3030 East Ave R-8,"Palmdale, CA 93550, United States","3030 East Ave R-8 Palmdale, CA 93550, United States",34.5651301,-118.0753592
Rescue Mission Alliance -Joshua Elementary School,"Last Saturday 10:15 am - 11:30 am OPEN 11/22, 12/20 CLOSED 11/29, 12,27",43926 2nd St E,"Lancaster, CA 93535, United States","43926 2nd St E Lancaster, CA 93535, United States",34.6804319,-118.1265318
Rescue Mission Alliance -Living Word Worship Center,2nd & 4th Thursday 3pm-7pm,1430 West Ave I,"Lancaster, CA 93535, United States","1430 West Ave I Lancaster, CA 93535, United States",34.7037064,-118.1561516
Rescue Mission Alliance -Pearblossom Foursquare Church,Saturday 9:30am-10:30am,34005 123rd St E,"Pearblossom, CA 93553, United States","34005 123rd St E Pearblossom, CA 93553, United States",34.502923,-117.91003
Rescue Mission Alliance -Renew Life Fellowship,2nd Saturday 10:30am-11:30am,44950 Mall Loop Dr,"Lancaster, CA 93535, United States","44950 Mall Loop Dr Lancaster, CA 93535, United States",34.7002639,-118.1729778
